"pitcher","game_year","release_speed","pfx_x","pfx_z"
594835,2021,0.75,0.691399662731872,0.78719723183391
594835,2021,0.652116402116402,0.785834738617201,0.634948096885813
543037,2021,0.902116402116402,0.335581787521079,0.764705882352941
594835,2021,0.757936507936508,0.630691399662732,0.811418685121107
594835,2021,0.755291005291005,0.652613827993255,0.766435986159169
543037,2021,0.894179894179894,0.33220910623946,0.759515570934256
669456,2021,0.726190476190476,0.504215851602024,0.519031141868512
543037,2021,0.888888888888889,0.320404721753794,0.799307958477509
594835,2021,0.661375661375661,0.797639123102867,0.624567474048443
656427,2021,0.736772486772487,0.610455311973019,0.543252595155709
543037,2021,0.69047619047619,0.581787521079258,0.268166089965398
594835,2021,0.656084656084656,0.741989881956155,0.634948096885813
669456,2021,0.694444444444444,0.63743676222597,0.231833910034602
608331,2021,0.871693121693122,0.564924114671164,0.72318339100346
656427,2021,0.734126984126984,0.644182124789207,0.536332179930796
594835,2021,0.753968253968254,0.644182124789207,0.794117647058823
669456,2021,0.67989417989418,0.632377740303541,0.254325259515571
506433,2021,0.87962962962963,0.377740303541315,0.743944636678201
608331,2021,0.624338624338624,0.349072512647555,0.237024221453287
543037,2021,0.657407407407407,0.620573355817875,0.313148788927336
656427,2021,0.825396825396825,0.305227655986509,0.603806228373702
669456,2021,0.678571428571429,0.649241146711636,0.238754325259516
543037,2021,0.76984126984127,0.3035413153457,0.705882352941176
547943,2021,0.6494708994709,0.718381112984823,0.579584775086505
608566,2021,0.735449735449736,0.499156829679595,0.411764705882353
594835,2021,0.656084656084656,0.733558178752108,0.650519031141868
571510,2021,0.80952380952381,0.69814502529511,0.707612456747405
608331,2021,0.607142857142857,0.325463743676223,0.190311418685121
506433,2021,0.765873015873016,0.578414839797639,0.463667820069204
608566,2021,0.753968253968254,0.554806070826307,0.557093425605536
669456,2021,0.830687830687831,0.379426644182125,0.775086505190311
506433,2021,0.644179894179894,0.649241146711636,0.27681660899654
