"name","key_mlbam","key_bbref"
"Christin Stewart",621514,"stewach02"
"José Martínez",500874,"martijo08"
"Jered Weaver",450308,"weaveje02"
"Griffin Canning",656288,"cannigr01"
"Zach Putnam",474029,"putnaza01"
"Alex Meyer",543542,"meyeral01"
"Ryan Schimpf",572114,"schimry01"
"Chris Capuano",425626,"capuach01"
"Matt Belisle",279571,"belisma01"
"Devon Travis",581527,"travide01"
"Dustin Antolin",542884,"antoldu01"
"Bruce Rondón",541652,"rondobr01"
"Bartolo Colon",112526,"colonba01"
"Cesár Ramos",459987,"ramosce01"
"Henderson Alvarez",506693,"alvarhe01"
"Addison Reed",592665,"reedad01"
"Arnold Leon",504186,"leonar01"
"Brad Ziegler",446899,"zieglbr01"
"Roberto Hernandez",433584,"carmofa01"
"Daniel Murphy",502517,"murphda08"
"Rafael Soriano",400089,"soriara01"
"Rex Brothers",571521,"brothre01"
"Henry Owens",596064,"owenshe02"
"Rico Noel",592596,"noelri02"
"Chris Marrero",502029,"marrech01"
"Manny Barreda",518435,"barrema03"
"Bryan Holaday",592407,"holadbr01"
"Jeremy Walker",668683,"walkeje02"
"Jhonatan Solano",500207,"solanjh01"
"Cody Anderson",594736,"anderco01"
"José Torres",600526,"torrejo02"
"Kyle Hart",606996,"hartky01"
"Michael Saunders",459431,"saundmi01"
"Jacoby Ellsbury",453056,"ellsbja01"
"Ryan Merritt",607320,"merriry01"
"Cy Sneed",605482,"sneedcy01"
"Danny Barnes",592130,"barneda02"
"Preston Guilmet",543258,"guilmpr01"
"Edgar Olmos",543607,"olmosed01"
"Lucas Harrell",449173,"harrelu01"
"Bruce Maxwell",622194,"maxwebr01"
"Cody Allen",592102,"allenco01"
"Donovan Hand",518764,"handdo01"
"Pat Light",572990,"lightpa01"
"Richard Urena",620446,"urenari01"
"Humberto Arteaga",600858,"arteahu01"
"Jason Pridie",445095,"pridija01"
"Travis Ishikawa",448170,"ishiktr01"
"Juan Graterol",492802,"grateju01"
"Jon Jay",445055,"jayjo02"
"Johneshwy Fargas",641561,"fargajo01"
"Danny Burawa",592181,"burawda01"
"Alexi Amarista",506560,"amarial01"
"Edubray Ramos",591693,"ramosed02"
"Shane Peterson",451089,"petersh01"
"Nick Vincent",543883,"vinceni01"
"José Devers",672701,"deverjo01"
"Tuffy Gosewisch",488912,"gosewtu01"
"Thomas Pannone",623381,"pannoth01"
"Jonathan Diaz",502409,"diazjo02"
"Jacob Webb",657097,"webbja01"
"Jacob Waguespack",621097,"wagueja01"
"Aramis Ramirez",133380,"ramirar01"
"Chris Tillman",501957,"tillmch01"
"Merandy Gonzalez",642571,"gonzame01"
"Kennys Vargas",573627,"vargake01"
"David Freitas",571679,"freitda01"
"Brendan McKay",656713,"mckaybr01"
"Brock Stassi",595426,"stassbr01"
"Josh Fields",451661,"fieldjo03"
"Kevin Quackenbush",534812,"quackke01"
"J. P. Arencibia",450317,"arencjp01"
"Pedro Álvarez",476883,"alvarpe01"
"José Fernández",622774,"fernajo04"
"Gorkys Hernández",491676,"hernago01"
"Peter O'Brien",598284,"obriepe01"
"Kevin Jepsen",448178,"jepseke01"
"Jake Faria",607188,"fariaja01"
"Matt Duffy",592274,"duffyma02"
"Pat Neshek",450212,"neshepa01"
"David DeJesus",430203,"dejesda01"
"Blake Lalli",503351,"lallibl01"
"Dae-ho Lee",493193,"leeda02"
"Alex Reyes",621052,"reyesal02"
"A. J. Jimenez",543362,"jimenaj01"
"Kevin McGowan",641850,"mcgowke01"
"Carlos Moncrief",519037,"moncrca01"
"Will Craig",643269,"craigwi01"
"Arquimedes Caminero",491708,"caminar01"
"Taylor Teagarden",460003,"teagata01"
"Jarred Cosart",543054,"cosarja01"
"C. C. Lee",547348,"leech01"
"Brandon Guyer",446386,"guyerbr01"
"Scott Atchison",425786,"atchisc01"
"Hernan Iribarren",454975,"iribahe01"
"Geovany Soto",434567,"sotoge01"
"Drew Hayes",502457,"hayesdr01"
"James Beresford",503437,"beresja01"
"Pedro Ciriaco",465674,"ciriape01"
"Daniel Corcino",542289,"corcida01"
"Nick Rumbelow",592705,"rumbeni01"
"Brian Goodwin",571718,"goodwbr01"
"Sixto Sánchez",664350,"sanchsi01"
"Cole Hamels",430935,"hamelco01"
"Luiz Gohara",627894,"goharlu01"
"Jerome Williams",425532,"willije01"
"Yennsy Díaz",660546,"diazye01"
"Lonnie Chisenhall",502082,"chiselo01"
"Jesús Sucre",491696,"sucreje01"
"Danny Hultzen",543343,"hultzda01"
"Justin Williams",642211,"williju02"
"Chris Hatcher",501822,"hatchch02"
"Jumbo Diaz",471822,"diazju03"
"Brandon Phillips",408252,"phillbr01"
"David Hernandez",456696,"hernada01"
"Cody Ross",425496,"rossco01"
"Eric Young",458913,"younger03"
"Rymer Liriano",542642,"liriary01"
"Ben Heller",621294,"hellebe01"
"Ronald Herrera",622703,"herrero01"
"Adam Conley",543045,"conlead01"
"Dean Deetz",657209,"deetzde01"
"Chris Gittens",656467,"gittech01"
"Joaquin Arias",435078,"ariasjo01"
"Joe Beimel",346847,"beimejo01"
"Nick Ciuffo",624419,"ciuffni01"
"Corey Oswalt",621261,"oswalco01"
"J. A. Happ",457918,"happja01"
"Elian Herrera",467070,"herreel01"
"John Danks",433579,"danksjo01"
"Curtis Terry",663799,"terrycu01"
"Rick Porcello",519144,"porceri01"
"Eric Stults",445590,"stulter01"
