"playerid","season","mean_pLI","mean_inLI","mean_gmLI","max_pLI","max_inLI","max_gmLI"
729,2015,0.968536506118696,0.831793575237195,0.932638096578774,3.71563005447388,3.36120009422302,3.60999989509583
1122,2016,1.46545838043094,0.958960013091564,1.33104000538588,7.69259977340698,3.58859992027283,7.17719984054565
2010,2015,1.68522636050528,1.00159999592738,1.65239999240095,6.74720001220703,3.37360000610352,6.74720001220703
521,2017,1.02297089976238,0.782814418411125,0.90701740089318,7.3452000617981,3.67260003089905,7.3452000617981
521,2015,1.90682248853975,1.97326667275694,1.97326667275694,3.86907005310059,3.44440007209778,3.44440007209778
1793,2015,0.980708205564456,0.955866369334134,1.01701818812977,1.82633996009827,2.28640007972717,2.51719999313354
1437,2017,1.10352136108738,1.20141153886484,1.25838076942959,4.97599983215332,3.53500008583069,4.46140003204346
1437,2016,1.36435205430048,1.19672680038082,1.33445882043053,4.00808000564575,3.51160001754761,3.51160001754761
1837,2016,0.748332975315861,0.657683026394807,0.825065003125928,2.88120007514954,2.88120007514954,3.33319997787476
1837,2018,0.536716914404127,0.498874236660247,0.559381812923785,3.03294992446899,3.54800009727478,3.54800009727478
1837,2015,1.07928653981756,0.939031389596708,1.12891177077065,3.80940008163452,3.11619997024536,6.23239994049072
1837,2017,1.31280373093942,1.24557895549843,1.46889355105738,3.42013001441956,3.11820006370544,4.61140012741089
813,2015,1.17883009332376,0.77685774524342,1.17610422099455,4.87360000610352,2.4811999797821,4.87360000610352
583,2015,1.14689458572628,0.894691158242774,1.26686538966337,4.85400009155273,3.74440002441406,4.85400009155273
718,2015,0.525216166550914,0.584394480101764,0.567033316008747,1.85092997550964,2.47359991073608,2.47359991073608
979,2015,0.828659941249017,0.718249127233647,0.964294344186783,3.6800000667572,3.33879995346069,4.92000007629395
1100,2015,1.29271385073662,1.06628333280484,1.69209999591112,2.59619998931885,2.12220001220703,4.24440002441406
1918,2015,1.27650225853237,0.950929457228631,1.2880033443061,3.99887990951538,2.46160006523132,3.37800002098083
1918,2016,0.266696180799045,0.253422218788829,0.361477772550036,1.50888001918793,1.61179995536804,3.22359991073608
2047,2018,0.962480800336827,0.703547400075121,0.987016945824785,4.86359977722168,2.83759999275208,4.86359977722168
2047,2017,NA,NA,NA,NA,NA,NA
494,2019,1.14374465898357,0.986141821132465,1.10075636512854,4.35960006713867,2.93160009384155,4.61719989776611
2332,2016,1.17689065976189,1.07815805359954,1.26884515289097,4.29580020904541,2.46799993515015,4.29580020904541
2332,2015,0.946448751866366,0.902367762148832,1.03756967542524,5.06832981109619,2.27699995040894,4.11999988555908
1642,2017,1.5311042071054,1.30245001201651,1.4063785785277,5.58968019485474,3.48040008544922,3.48040008544922
1642,2015,1.35027682177412,1.39738666769117,1.41159000104914,5.72575998306274,3.46359992027283,3.46359992027283
1642,2016,1.82117973191694,1.74262535492661,1.8969704923449,5.62906980514526,4.28146982192993,6.05000019073486
1514,2016,1.25890387308027,0.855449541122653,1.20297500479501,4.90679979324341,2.3296000957489,4.43620014190674
1514,2018,1.02266489123633,0.686550261452794,NA,2.65919995307922,2.55172991752625,NA
1514,2015,1.10273962233748,0.792089051394058,1.10071142478181,5.65999984741211,3.30999994277954,4.8899998664856
1514,2019,1.33803776687762,0.889813732355833,1.32448358514082,4.75,2.375,4.75
1514,2017,1.04812611870468,0.789661398157477,1.11996399842203,4.41499996185303,2.75746989250183,4.68599987030029
2074,2016,0.452430193845526,0.444728151135343,0.450826318542424,2.81670999526978,2.81879997253418,2.33920001983643
1852,2017,1.27854313403368,1.2091111091276,1.33898333832622,3.48673009872437,3.03520011901855,4.08680009841919
1852,2018,1.45037243418909,1.20705621072958,1.36208965773855,4.70065021514893,3.46679997444153,4.75659990310669
1137,2016,0.0297574995572425,0.0263893911615014,0.035799999806014,0.1112399995327,0.112800002098083,0.112800002098083
1701,2016,0.672856804449111,0.661160507122986,0.747562507749535,2.13547992706299,2.34400010108948,2.34400010108948
1701,2015,0.574106635938568,0.438195450316099,0.48332727167078,2.42700004577637,2.30399990081787,2.30399990081787
1663,2016,1.63360192723271,1.06525001325302,1.63333825369174,7.04400014877319,3.5220000743866,7.04400014877319
1663,2015,1.25436533397886,0.851181392247982,1.28352467711809,6.82520008087158,3.41260004043579,6.82520008087158
2642,2015,0.568745641594591,0.460475343117571,0.636608691845575,2.31480002403259,1.39699995517731,1.41199994087219
2233,2015,0.716369994583407,0.669694127648005,0.575342861536358,1.26531994342804,1.23014998435974,0.924600005149841
1776,2015,0.595556591451168,0.684267343580723,0.786040008068085,1.07985997200012,1.33800005912781,1.51380002498627
3886,2015,0.112402216664382,0.123152426310948,0.148000000576888,0.336311012506485,0.391999989748001,0.432000011205673
3886,2016,1.2421850803408,1.19007738317097,1.53137142626968,3.34699988365173,2.68919992446899,5.56720018386841
2134,2015,0.510440260614269,0.355943351332098,0.474529998097569,2.34019994735718,1.31599998474121,2.10120010375977
2134,2016,0.648775000823662,0.538237494649366,0.629274991573766,2.28690004348755,2.3775999546051,2.3775999546051
1841,2015,0.831325685585591,0.656738154263176,0.863404264693406,3.74239993095398,2.28320002555847,4.38360023498535
2141,2015,0.566501837285856,0.663444467199345,0.718133330220977,1.42149996757507,1.75199997425079,2.27900004386902
2141,2016,1.20960567519069,0.806154151757558,1.72933330883582,4.01999998092651,2.36249995231628,4.72499990463257
177,2015,1.11437265343654,0.856485784177979,1.07015111475355,6.03840017318726,3.02180004119873,6.04360008239746
2170,2016,0.685547194052064,0.551771977819788,0.678859092864017,3.15400004386902,1.9099999666214,3.15400004386902
2170,2017,0.692394329872178,0.488785960123335,0.589810521537928,3.34563994407654,2.23239994049072,2.70199990272522
2170,2015,1.11695709610358,0.933199340819071,1.14106334612394,6.51399993896484,3.25699996948242,6.51399993896484
4849,2017,0.783315229740943,0.583237245824991,0.773027450266276,3.51500010490417,2.34999990463257,3.51500010490417
2203,2015,0.417685156067212,0.344099999715885,0.408466655140122,1.03762996196747,0.752600014209747,0.762399971485138
1906,2015,0.986483792352374,0.690467619569972,0.993481258396059,4.41179990768433,2.25760006904602,3.31520009040833
1886,2016,0.902292714267969,0.675720010884106,0.97068001665175,3.51500010490417,1.75750005245209,3.51500010490417
2237,2015,1.17086988310877,0.996797053882962,1.24042058812783,3.44840002059937,2.93759989738464,4.3024001121521
2237,2018,0.781283669639379,0.818011084737788,0.842647610930726,2.3379499912262,2.9021999835968,2.9021999835968
2237,2017,0.669735794173903,0.601962401880883,0.681406249059364,2.90633988380432,2.38720011711121,2.81439995765686
8600,2015,0.619966933636793,0.531245250254869,0.573757130386574,3.05246996879578,2.27519989013672,2.27519989013672
1902,2015,1.1466316450105,0.745678785454595,1.14989696437437,6.28527021408081,3.0534999370575,6.10699987411499
4616,2019,0.00469167495612055,0.00499999988824129,0.00499999988824129,0.0114666996523738,0.00999999977648258,0.00999999977648258
6432,2015,0.553320727931956,0.489050932125085,0.585744448420074,2.04766988754272,1.8507000207901,1.9099999666214
